id,difficulty
0,C2
1,A2
2,B1
3,A2
4,C2
5,C2
6,A1
7,A2
8,C2
9,A2
10,A1
11,A2
12,B2
13,C1
14,A1
15,A2
16,B2
17,A1
18,B1
19,A1
20,C2
21,C1
22,B2
23,C1
24,B1
25,C2
26,A2
27,A1
28,C2
29,B1
30,A2
31,A2
32,A1
33,A2
34,B1
35,A2
36,B2
37,B1
38,A1
39,A1
40,A2
41,B2
42,B2
43,C1
44,C1
45,C1
46,C1
47,C1
48,A1
49,A2
50,C2
51,A1
52,B2
53,A2
54,A1
55,B2
56,B2
57,C1
58,B2
59,A2
60,B2
61,A2
62,B2
63,C1
64,C1
65,B2
66,B2
67,A2
68,B1
69,C2
70,A1
71,B2
72,B2
73,B1
74,B2
75,A2
76,B2
77,C1
78,A2
79,B2
80,A2
81,A1
82,B1
83,B1
84,A2
85,C1
86,B1
87,B2
88,B2
89,B1
90,C2
91,A2
92,B1
93,C1
94,B1
95,B1
96,B1
97,A2
98,B1
99,C2
100,B2
101,B2
102,A2
103,A2
104,C2
105,C2
106,B1
107,A2
108,B1
109,C1
110,B2
111,B1
112,C1
113,C1
114,C2
115,B2
116,B2
117,A2
118,A2
119,B2
120,A2
121,B2
122,B1
123,C1
124,A2
125,C1
126,C1
127,C1
128,C1
129,C1
130,A2
131,A2
132,C1
133,B1
134,C1
135,C2
136,A2
137,C1
138,A2
139,B1
140,A1
141,C1
142,C2
143,C2
144,B2
145,C1
146,A1
147,C2
148,C2
149,B1
150,B2
151,B1
152,A1
153,A2
154,A1
155,B2
156,C1
157,A1
158,A2
159,A1
160,A2
161,A1
162,B1
163,B2
164,C1
165,C1
166,A1
167,B2
168,B1
169,B2
170,B2
171,B1
172,A1
173,A2
174,A1
175,C1
176,C1
177,B2
178,B1
179,C2
180,A2
181,C1
182,B2
183,B1
184,B2
185,B1
186,A2
187,B1
188,C1
189,C2
190,A1
191,B2
192,B2
193,B2
194,B2
195,A1
196,C1
197,B1
198,B2
199,B1
200,C1
201,B2
202,A1
203,A1
204,C2
205,A1
206,B1
207,B1
208,A1
209,A1
210,A2
211,A1
212,A2
213,C1
214,B2
215,B2
216,B2
217,C2
218,A2
219,B1
220,B2
221,B2
222,A1
223,B2
224,A1
225,C1
226,A2
227,A2
228,B1
229,A1
230,B2
231,C1
232,C2
233,A2
234,B1
235,B2
236,C1
237,A2
238,C1
239,C2
240,B1
241,B1
242,A1
243,A2
244,B2
245,A1
246,B1
247,B2
248,A2
249,B1
250,B1
251,B2
252,A1
253,B2
254,B2
255,C2
256,A2
257,A1
258,A1
259,C2
260,A1
261,A2
262,A1
263,B1
264,B2
265,C1
266,B1
267,B1
268,B2
269,C1
270,A2
271,C2
272,B1
273,C1
274,A2
275,C1
276,B2
277,C2
278,B2
279,B2
280,A1
281,C1
282,C1
283,B1
284,A2
285,B2
286,C1
287,C2
288,C1
289,B2
290,C1
291,B1
292,A2
293,B1
294,C1
295,C2
296,C1
297,B2
298,B1
299,A2
300,A1
301,A1
302,B2
303,A1
304,B1
305,A1
306,A1
307,B2
308,B2
309,A2
310,C2
311,B1
312,C1
313,B2
314,C2
315,C2
316,A2
317,C2
318,A2
319,A1
320,C2
321,B1
322,C1
323,C2
324,A2
325,A1
326,C1
327,C1
328,A2
329,B1
330,C1
331,A2
332,A1
333,B2
334,B1
335,B1
336,A1
337,A2
338,C1
339,B2
340,B1
341,A1
342,B1
343,B1
344,C2
345,B1
346,A2
347,C1
348,A2
349,A2
350,B2
351,B1
352,B2
353,B2
354,B2
355,C2
356,B1
357,B1
358,B2
359,C2
360,A2
361,C1
362,B2
363,B1
364,B2
365,C1
366,A2
367,B1
368,A1
369,B2
370,B2
371,A1
372,C2
373,A1
374,C2
375,B1
376,A1
377,B1
378,B1
379,B1
380,B1
381,A2
382,B2
383,A2
384,B2
385,C2
386,C1
387,A1
388,C2
389,A2
390,C2
391,A2
392,A1
393,C2
394,C1
395,B2
396,A2
397,B1
398,B1
399,A1
400,B2
401,A1
402,A1
403,C1
404,B1
405,C2
406,B2
407,B1
408,A1
409,C2
410,B2
411,B2
412,C2
413,C2
414,B2
415,C1
416,C2
417,B2
418,B1
419,A2
420,A1
421,C1
422,B2
423,A1
424,A2
425,B2
426,A2
427,B2
428,B1
429,A2
430,A1
431,A1
432,B2
433,C2
434,A1
435,A1
436,C1
437,C2
438,A1
439,A1
440,B2
441,B1
442,C1
443,B2
444,B1
445,A1
446,B1
447,A2
448,C2
449,B1
450,C1
451,A1
452,A1
453,B1
